Kingdom	Phylum	Class	Order	Family	Genus
Mito OTU199	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Mito OTU200	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Iodobacter
Mito OTU201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	T34	NA
Mito OTU202	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Mito OTU203	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
Mito OTU204	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus
Mito OTU205	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
Mito OTU206	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
Mito OTU207	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Mito OTU208	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Mito OTU209	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	T34	NA
Mito OTU210	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Pseudarcobacter
Mito OTU211	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter
Mito OTU212	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	NA
Mito OTU213	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	NA	NA
Mito OTU214	Eukaryota	NA	NA	NA	NA	NA
Mito OTU215	Eukaryota	NA	NA	NA	NA	NA
Mito OTU216	Eukaryota	NA	NA	NA	NA	NA
Mito OTU217	Eukaryota	NA	NA	NA	NA	NA
Mito OTU218	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges
Mito OTU219	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Mito OTU220	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
Mito OTU221	Bacteria	Proteobacteria	NA	NA	NA	NA
Mito OTU222	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA
Mito OTU223	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
Mito OTU224	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
Mito OTU225	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosaetaceae	Methanosaeta
Mito OTU226	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
Mito OTU227	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Mito OTU228	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	NA
Mito OTU229	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Mito OTU230	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
Mito OTU231	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Lacihabitans
Mito OTU232	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Mito OTU233	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter
Mito OTU234	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
